TOPIC,LINK,AGENCY,AMOUNT,CLOSE DATE,ADDITIONAL INFO
A19-102: Effect of Heat Treatment on Additively Manufactured Ti-6Al-4V Alloy,https://www.sbir.gov/sbirsearch/detail/1605859,Army - DoD,,7/1/19,
A19-103: High assurance hardware state machine trusted computing base,https://www.sbir.gov/sbirsearch/detail/1605861,Army - DoD,,7/1/19,
A19-104: Cryogenic Production for Airborne Thermal Management,https://www.sbir.gov/sbirsearch/detail/1605863,Army - DoD,,7/1/19,
A19-105: Innovative Muzzle Brake Design for Artillery,https://www.sbir.gov/sbirsearch/detail/1531577,Army - DoD,,7/1/19,
A19-106: Collaborative Fire Control Decision Aids,https://www.sbir.gov/sbirsearch/detail/1605867,Army - DoD,,7/1/19,
A19-107: Carbon Fiber Thermoplastics with High Through Thickness Modulus,https://www.sbir.gov/node/1604627,Army - DoD,,7/1/19,
A19-108: Conformal RF Interfaces for Gun-fired Munitions,https://www.sbir.gov/node/1604627,Army - DoD,,7/1/19,
A19-109: Maximizing Persistent Coverage of a Predetermined Area of Interest by Swarms of Assets for Targets Acquisition and Engagement,https://www.sbir.gov/sbirsearch/detail/1605873,Army - DoD,,7/1/19,
A19-110: Multifunctional Materials for Increased Lethality Munitions,https://www.sbir.gov/sbirsearch/detail/1605875,Army - DoD,,7/1/19,
A19-111: Non-Destructive Inspection of Modern Explosives and Ammunition Housings,https://www.sbir.gov/sbirsearch/detail/1605879,Army - DoD,,7/1/19,
A19-112: Optical Based Proximity Sensor for Fuzing,https://www.sbir.gov/sbirsearch/detail/1605881,Army - DoD,,7/1/19,
A19-113: Alternative Manufacturing Methods and Materials for Gun-Launched Components,https://www.sbir.gov/sbirsearch/detail/1605883,Army - DoD,,7/1/19,
A19-114: High Sensitivity Miniaturized Gun-hardened Aeroballistic and Geolocation Sensor Technology,https://www.sbir.gov/sbirsearch/detail/1605885,Army - DoD,,7/1/19,
A19-115: Synthetic Aperture by Direct Print-down of Micro-lens Arrays on CMOS Imagers,https://www.sbir.gov/sbirsearch/detail/1605887,Army - DoD,,7/1/19,
A19-116: Integrated 2-color thermal polarimetric sensor and deep neural network system for artificial intelligence and machine learning (AI&ML) based automatic target detection and identification,https://www.sbir.gov/sbirsearch/detail/1605889,Army - DoD,,7/1/19,
"A19-117: Advanced compact acoustic particle velocity-pressure sensory system",https://www.sbir.gov/sbirsearch/topic/current?page=6&f%5B0%5D=im_field_agencies%3A105729&solrsort=its_field_close_date+asc,Army - DoD,,7/1/19,
A19-118: Image data compilation based on accurate registration of sequential frames from a drone,https://www.sbir.gov/sbirsearch/detail/1605893,Army - DoD,,7/1/19,
A19-119: Deep Generative Modeling of Infrared Datasets for Aided Target Recognition,https://www.sbir.gov/sbirsearch/topic/current?page=20&f%5B0%5D=im_field_program%3A105791&amp%3Bf%5B1%5D=im_field_agencies%3A105760,Army - DoD,,7/1/19,
A19-120: Novel Integration Technologies for Infrared Focal Plane Array Application,https://www.sbir.gov/sbirsearch/topic/current?page=3&solrsort=its_field_open_date%20desc,Army - DoD,,7/1/19,
A19-121: Foveated Headworn Display Demonstrator,https://www.sbir.gov/sbirsearch/topic/current?page=3&solrsort=its_field_release_date+desc,Army - DoD,,7/1/19,
A19-122: Variable Attenuator for See-Through Day/Night Displays,https://www.sbir.gov/sbirsearch/detail/1605901,Army - DoD,,7/1/19,
A19-123: Advanced Concepts for Low-Cost High-Speed Uncooled Infrared Detectors,https://www.sbir.gov/sbirsearch/topic/current?page=2&f%5B0%5D=im_field_agencies%3A105729&solrsort=its_field_open_date%20asc,Army - DoD,,7/1/19,
"A19-124: A point-of-care assay to determine soldier dengue exposure and enable rapid mass cost-efficient dengue vaccination programs of military personnel",https://www.sbir.gov/sbirsearch/detail/1605905,Army - DoD,,7/1/19,
A19-125: Advanced Machine Learning Target Recognition in Munitions,https://www.sbir.gov/sbirsearch/detail/1605907,Army - DoD,,7/1/19,
A19-126: Advanced Machine Learning for Non-Destructive Testing,https://www.sbir.gov/sbirsearch/detail/1605909,Army - DoD,,7/1/19,
A19-127: Software Defined Radio Automated Testing Solution,https://www.sbir.gov/sbirsearch/detail/1605911,Army - DoD,,7/1/19,
A19-128: Intelligent Manufacturing Technologies for Lithium-ion 6T End-of-Line Testing,https://www.sbir.gov/sbirsearch/detail/1605913,Army - DoD,,7/1/19,
A19-129: Advanced Signal Detection and Characterization Utilizing Artificial Intelligence (IL)/Machine Learning (ML),https://www.sbir.gov/sbirsearch/topic/current?page=3&f%5B0%5D=im_field_program%3A105791&solrsort=its_field_open_date+desc,Army - DoD,,7/1/19,
A19-130: Aerostat Hybrid,https://www.sbir.gov/sbirsearch/detail/1605917,Army - DoD,,7/1/19,
A19-131: Reduced emission sensors for Short Range Air Defense (SHORAD),https://www.sbir.gov/sbirsearch/detail/1605919,Army - DoD,,7/1/19,
A19-132: Next Generation Aviation Helmet Shell,https://www.sbir.gov/sbirsearch/detail/1605921,Army - DoD,,7/1/19,
A19-133: Power Generation for Individual Soldier,https://www.sbir.gov/sbirsearch/detail/1605923,Army - DoD,,7/1/19,
A19-134: Real-time Muzzle Velocity Feedback System (RMVFS),https://www.sbir.gov/sbirsearch/topic/current?page=55&solrsort=its_field_open_date%20asc,Army - DoD,,7/1/19,
A19-135: Powder Development and Characterization for Additive Manufacturing of FeMnAlC Alloy Steel,https://www.sbir.gov/sbirsearch/detail/1605927,Army - DoD,,7/1/19,
A19-136: 2kW Solid Oxide Fuel Cell (SOFC) Power System,https://www.sbir.gov/sbirsearch/detail/1605929,Army - DoD,,7/1/19,
AF192-001: Open Call for Innovative Defense-Related Dual-Purpose Technologies/Solutions with a Clear Air Force Stakeholder Need,https://www.sbir.gov/sbirsearch/detail/1605931,Air Force - DoD,,7/1/19,
AF192-005: Kessel Run Pitch Day,https://www.sbir.gov/sbirsearch/detail/1605933,Air Force - DoD,,7/1/19,
AF192-006: Unmanned Aerial Systems Pitch Day,https://www.sbir.gov/sbirsearch/detail/1605937,Air Force - DoD,,7/1/19,
"AF192-007: Standardized Compact and Automated Shock Tube for Fuel Characterization and Modeling",https://www.sbir.gov/sbirsearch/detail/1605941,Air Force - DoD,,7/1/19,
AF192-008: Millimeter wave Instrumentation and Characterization,https://www.sbir.gov/sbirsearch/detail/1605943,Air Force - DoD,,7/1/19,
AF192-014: RF Situational Awareness with Low-Cost Signal Samplers,https://www.sbir.gov/sbirsearch/detail/1605947,Air Force - DoD,,7/1/19,
AF192-015: Low SWAP-C Anti-Jam Techniques for MGUE Increment 2 Handheld Receiver,https://www.sbir.gov/sbirsearch/detail/1605951,Air Force - DoD,,7/1/19,
AF192-016: Heterogenous Power Exploitation in GPS Receivers,https://www.sbir.gov/sbirsearch/detail/1605955,Air Force - DoD,,7/1/19,
AF192-017: W-band Receive Phased Array for SATCOM Uplinks,https://www.sbir.gov/sbirsearch/detail/1605957,Air Force - DoD,,7/1/19,
"AF192-018: Dual-Band Multi-Platform High Power Amplifiers for SATCOM Uplinks",https://www.sbir.gov/sbirsearch/detail/1605959,Air Force - DoD,,7/1/19,
AF192-019: V-band Transmit Phased Array for SATCOM Downlinks,https://www.sbir.gov/sbirsearch/detail/1605961,Air Force - DoD,,7/1/19,
AF192-020: V-Band Crosslink Solid-State Power Amplifiers,https://www.sbir.gov/sbirsearch/detail/1605963,Air Force - DoD,,7/1/19,
AF192-021: High Spectral Resolution Longwave Infrared Hyperspectral Imaging System,https://www.sbir.gov/sbirsearch/detail/1605965,Air Force - DoD,,7/1/19,
AF192-022: Develop Small Pitch Geiger Mode Avalanche Photodiode Detector Arrays for Multifunction LiDAR Receivers,https://www.sbir.gov/sbirsearch/detail/1605967,Air Force - DoD,,7/1/19,
AF192-023: Conformal Beam Steering for High Resolution Ladar,https://www.sbir.gov/sbirsearch/detail/1605969,Air Force - DoD,,7/1/19,
